,SalesAgentEmailID,ContactEmailID,sentiment_scores,Product,year_month,Close_Value,month,year,lag_1,lag_2,lag_3,lag_4,lag_(-1),lag_(-2),lag_(-3),lag_(-4),rolling_avg,rolling_min,rolling_max
4,22,47,4.225225225225225,1,2016-03-01,493,3,2016,1164.0,1070.0,4359.0,3180.0,1059.0,5149.0,48.0,54.0,2053.2,493.0,4359.0
5,14,23,3.985074626865672,2,2016-03-01,1059,3,2016,493.0,1164.0,1070.0,4359.0,5149.0,48.0,54.0,57.0,1629.0,493.0,4359.0
6,15,30,4.544378698224851,4,2016-03-01,5149,3,2016,1059.0,493.0,1164.0,1070.0,48.0,54.0,57.0,57.0,1787.0,493.0,5149.0
7,21,59,4.96875,6,2016-04-01,48,4,2016,5149.0,1059.0,493.0,1164.0,54.0,57.0,57.0,513.0,1582.6,48.0,5149.0
8,26,27,3.2098765432098766,6,2016-04-01,54,4,2016,48.0,5149.0,1059.0,493.0,57.0,57.0,513.0,519.0,1360.6,48.0,5149.0
9,25,42,3.515625,6,2016-04-01,57,4,2016,54.0,48.0,5149.0,1059.0,57.0,513.0,519.0,559.0,1273.4,48.0,5149.0
10,10,18,4.375,6,2016-04-01,57,4,2016,57.0,54.0,48.0,5149.0,513.0,519.0,559.0,1233.0,1073.0,48.0,5149.0
11,4,0,3.391304347826087,1,2016-04-01,513,4,2016,57.0,57.0,54.0,48.0,519.0,559.0,1233.0,3012.0,145.8,48.0,513.0
12,13,9,4.401869158878505,1,2016-04-01,519,4,2016,513.0,57.0,57.0,54.0,559.0,1233.0,3012.0,58.0,240.0,54.0,519.0
13,16,31,4.044776119402985,1,2016-04-01,559,4,2016,519.0,513.0,57.0,57.0,1233.0,3012.0,58.0,546.0,341.0,57.0,559.0
14,9,47,4.138888888888889,2,2016-04-01,1233,4,2016,559.0,519.0,513.0,57.0,3012.0,58.0,546.0,559.0,576.2,57.0,1233.0
15,28,73,3.282608695652174,5,2016-04-01,3012,4,2016,1233.0,559.0,519.0,513.0,58.0,546.0,559.0,571.0,1167.2,513.0,3012.0
16,0,4,4.118012422360248,6,2016-05-01,58,5,2016,3012.0,1233.0,559.0,519.0,546.0,559.0,571.0,988.0,1076.2,58.0,3012.0
17,21,21,3.5866666666666664,1,2016-05-01,546,5,2016,58.0,3012.0,1233.0,559.0,559.0,571.0,988.0,1255.0,1081.6,58.0,3012.0
18,15,39,3.5042016806722684,1,2016-05-01,559,5,2016,546.0,58.0,3012.0,1233.0,571.0,988.0,1255.0,3563.0,1081.6,58.0,3012.0
19,10,72,2.476923076923077,1,2016-05-01,571,5,2016,559.0,546.0,58.0,3012.0,988.0,1255.0,3563.0,560.0,949.2,58.0,3012.0
20,15,51,4.065693430656935,2,2016-05-01,988,5,2016,571.0,559.0,546.0,58.0,1255.0,3563.0,560.0,576.0,544.4,58.0,988.0
21,4,17,4.148387096774194,2,2016-05-01,1255,5,2016,988.0,571.0,559.0,546.0,3563.0,560.0,576.0,1162.0,783.8,546.0,1255.0
22,6,66,3.783251231527093,5,2016-05-01,3563,5,2016,1255.0,988.0,571.0,559.0,560.0,576.0,1162.0,1315.0,1387.2,559.0,3563.0
23,16,32,3.8191489361702127,1,2016-06-01,560,6,2016,3563.0,1255.0,988.0,571.0,576.0,1162.0,1315.0,3647.0,1387.4,560.0,3563.0
24,15,27,3.532934131736527,1,2016-06-01,576,6,2016,560.0,3563.0,1255.0,988.0,1162.0,1315.0,3647.0,4278.0,1388.4,560.0,3563.0
25,18,38,4.164179104477612,2,2016-06-01,1162,6,2016,576.0,560.0,3563.0,1255.0,1315.0,3647.0,4278.0,4631.0,1423.2,560.0,3563.0
26,11,30,4.018518518518518,2,2016-06-01,1315,6,2016,1162.0,576.0,560.0,3563.0,3647.0,4278.0,4631.0,5790.0,1435.2,560.0,3563.0
27,0,79,3.9732142857142856,5,2016-06-01,3647,6,2016,1315.0,1162.0,576.0,560.0,4278.0,4631.0,5790.0,48.0,1452.0,560.0,3647.0
28,6,24,4.264516129032258,3,2016-06-01,4278,6,2016,3647.0,1315.0,1162.0,576.0,4631.0,5790.0,48.0,50.0,2195.6,576.0,4278.0
29,19,2,3.555555555555556,3,2016-06-01,4631,6,2016,4278.0,3647.0,1315.0,1162.0,5790.0,48.0,50.0,50.0,3006.6,1162.0,4631.0
30,4,56,3.683544303797469,3,2016-06-01,5790,6,2016,4631.0,4278.0,3647.0,1315.0,48.0,50.0,50.0,58.0,3932.2,1315.0,5790.0
31,24,46,4.7368421052631575,6,2016-07-01,48,7,2016,5790.0,4631.0,4278.0,3647.0,50.0,50.0,58.0,60.0,3678.8,48.0,5790.0
32,25,24,3.2616822429906542,6,2016-07-01,50,7,2016,48.0,5790.0,4631.0,4278.0,50.0,58.0,60.0,65.0,2959.4,48.0,5790.0
33,20,40,3.3421052631578947,6,2016-07-01,50,7,2016,50.0,48.0,5790.0,4631.0,58.0,60.0,65.0,441.0,2113.8,48.0,5790.0
34,8,63,3.5263157894736836,6,2016-07-01,58,7,2016,50.0,50.0,48.0,5790.0,60.0,65.0,441.0,549.0,1199.2,48.0,5790.0
35,25,31,4.433734939759036,6,2016-07-01,60,7,2016,58.0,50.0,50.0,48.0,65.0,441.0,549.0,559.0,53.2,48.0,60.0
36,27,48,3.6987951807228914,6,2016-07-01,65,7,2016,60.0,58.0,50.0,50.0,441.0,549.0,559.0,589.0,56.6,50.0,65.0
37,14,55,3.4791666666666665,1,2016-07-01,441,7,2016,65.0,60.0,58.0,50.0,549.0,559.0,589.0,590.0,134.8,50.0,441.0
38,2,50,4.211111111111111,1,2016-07-01,549,7,2016,441.0,65.0,60.0,58.0,559.0,589.0,590.0,601.0,234.6,58.0,549.0
39,16,13,3.4642857142857144,1,2016-07-01,559,7,2016,549.0,441.0,65.0,60.0,589.0,590.0,601.0,926.0,334.8,60.0,559.0
40,20,15,4.333333333333333,1,2016-07-01,589,7,2016,559.0,549.0,441.0,65.0,590.0,601.0,926.0,1040.0,440.6,65.0,589.0
41,4,17,4.148387096774194,1,2016-07-01,590,7,2016,589.0,559.0,549.0,441.0,601.0,926.0,1040.0,3440.0,545.6,441.0,590.0
42,12,8,3.8645833333333335,1,2016-07-01,601,7,2016,590.0,589.0,559.0,549.0,926.0,1040.0,3440.0,3558.0,577.6,549.0,601.0
43,11,45,3.0597014925373136,2,2016-07-01,926,7,2016,601.0,590.0,589.0,559.0,1040.0,3440.0,3558.0,3671.0,653.0,559.0,926.0
44,11,39,3.3653846153846154,2,2016-07-01,1040,7,2016,926.0,601.0,590.0,589.0,3440.0,3558.0,3671.0,3956.0,749.2,589.0,1040.0
45,10,9,3.352,5,2016-07-01,3440,7,2016,1040.0,926.0,601.0,590.0,3558.0,3671.0,3956.0,4799.0,1319.4,590.0,3440.0
46,27,84,4.294117647058823,5,2016-07-01,3558,7,2016,3440.0,1040.0,926.0,601.0,3671.0,3956.0,4799.0,4829.0,1913.0,601.0,3558.0
47,26,17,4.244541484716157,5,2016-07-01,3671,7,2016,3558.0,3440.0,1040.0,926.0,3956.0,4799.0,4829.0,5370.0,2527.0,926.0,3671.0
